"Project","Type","Path","Status"
"PersonalOps","Directory",".claude","CREATED"
"PersonalOps","Directory","agents.d","CREATED"
"PersonalOps","Directory","ai-memory","CREATED"
"PersonalOps","Directory","assets","CREATED"
"PersonalOps","Directory","assets\fonts","CREATED"
"PersonalOps","Directory","assets\img","CREATED"
"PersonalOps","Directory","docs","CREATED"
"PersonalOps","Directory","docs\decisions","CREATED"
"PersonalOps","Directory","docs\design-system","CREATED"
"PersonalOps","Directory","docs\reference","CREATED"
"PersonalOps","Directory","docs\setup","CREATED"
"PersonalOps","Directory","docs\validation","CREATED"
"PersonalOps","File",".gitignore","CREATED"
"PersonalOps","File","AGENTS.md","CREATED"
"PersonalOps","File","CLAUDE.md","CREATED"
"PersonalOps","File","GEMINI.md","CREATED"
"PersonalOps","File","PROJECT_CONTROL.md","CREATED"
"PersonalOps","File","README.md","CREATED"
